#chrom	txStart	cdsEnd	name2
chr1	66999043	67208778	SGIP1
chr1	66999275	67208778	SGIP1
chr1	66999835	67156058	SGIP1
chr1	66999835	67208778	SGIP1
chr1	8378173	8404073	SLC45A1
chr1	16767218	16785385	NECAP2
chr1	16767218	16785491	NECAP2
chr1	16767218	16785385	NECAP2
chr1	25071937	25167428	CLIC4
chr1	33546753	33585783	AZIN2
chr1	33546753	33589093	AZIN2
chr1	33547778	33567493	AZIN2
chr1	33547778	33585783	AZIN2
chr1	33547778	33567493	AZIN2
chr1	48998525	50489468	AGBL4
chr1	48998525	50489626	AGBL4
chr1	57460450	57756702	DAB1
chr1	92145899	92327088	TGFBR3
chr1	92145899	92351708	TGFBR3
chr1	100652474	100684193	DBT
chr1	100652474	100715376	DBT
chr1	100652474	100715390	DBT
chr1	150980924	151006710	PRUNE1
chr1	150980924	151008189	PRUNE1
chr1	159367254	159410511	OR10J1
chr1	175913966	176176114	COP1
chr1	175913966	176145087	COP1
chr1	184356162	184588690	C1orf21
chr1	226418849	226485422	LIN9
chr1	226418849	226496888	LIN9
chr1	226418849	226475483	LIN9
chr1	226418857	226496840	LIN9
chr1	226418857	226485422	LIN9
chr1	1017202	1026923	C1orf159
chr1	1981849	2116448	PRKCZ
chr1	2005102	2116448	PRKCZ
chr1	2005102	2116834	PRKCZ
chr1	2005509	2116448	PRKCZ
chr1	2036154	2116448	PRKCZ
chr1	2985766	3350375	PRDM16
chr1	6281252	6295971	ICMT
chr1	6845513	7826551	CAMTA1
chr1	6845513	7826582	CAMTA1
chr1	6845513	7826551	CAMTA1
chr1	14675449	14746469	KAZN-AS1
chr1	19918295	19923326	MICOS10-DT
chr1	20959950	20977184	PINK1
chr1	20969149	20978686	PINK1-AS
chr1	22004790	22109450	USP48
chr1	23037330	23240063	EPHB2
chr1	23037331	23240063	EPHB2
chr1	23037331	23240363	EPHB2
chr1	23037331	23240063	EPHB2
chr1	26210669	26231167	STMN1
chr1	27248233	27272672	NUDC
chr1	28296854	28384537	EYA3
chr1	28296854	28365414	EYA3
chr1	28303780	28384537	EYA3
chr1	29213611	29395806	EPB41
chr1	29213611	29397127	EPB41
chr1	29213611	29395806	EPB41
chr1	29213611	29442309	EPB41
chr1	29241080	29391691	EPB41
chr1	29241080	29395806	EPB41
chr1	29241080	29397127	EPB41
chr1	29241080	29395806	EPB41
chr1	29241080	29442309	EPB41
chr1	31404352	31532413	PUM1
chr1	32479468	32508225	KHDRBS1
chr1	32479468	32509478	KHDRBS1
chr1	32479468	32526451	KHDRBS1
chr1	33979597	34630698	CSMD2
chr1	33979597	34631414	CSMD2
chr1	35641980	35658746	SFPQ
chr1	35648536	35658650	SFPQ
chr1	36690043	36769618	THRAP3
chr1	39549838	39951466	MACF1
chr1	39670366	39951466	MACF1
chr1	42921777	43119699	CCDC30
chr1	42928956	43119193	CCDC30
chr1	42928956	43119699	CCDC30
chr1	43991707	44087674	PTPRF
chr1	43996553	44087674	PTPRF
chr1	44870831	45116447	RNF220
chr1	44870926	45116447	RNF220
chr1	44872463	45116447	RNF220
chr1	44889672	45116447	RNF220
chr1	46092975	46124759	GPBP1L1
chr1	48226199	48462461	TRABD2B
chr1	50902699	51425483	FAF1
chr1	52373627	52442789	RAB3B
chr1	53392947	53516376	SCP2
chr1	54519280	54562146	TCEANC2
chr1	54519280	54578193	TCEANC2
chr1	55532031	55680786	USP24
chr1	57460450	57756702	DAB1
chr1	57609681	57756702	DAB1
chr1	59762484	60228256	FGGY
chr1	59762484	60223661	FGGY
chr1	59762484	60228256	FGGY
chr1	59762765	60228256	FGGY
chr1	59762765	60165066	FGGY
chr1	61542898	61920992	NFIA
chr1	61547410	61920992	NFIA
chr1	61548232	61921051	NFIA
chr1	61548232	61920992	NFIA
chr1	62902065	62916652	USP1
chr1	62902719	62916652	USP1
chr1	63906440	63988804	ITGB3BP
chr1	63906440	63955817	ITGB3BP
chr1	63906440	63988896	ITGB3BP
chr1	63915128	63988804	ITGB3BP
chr1	64935811	65157244	CACHD1
chr1	64971583	65157244	CACHD1
chr1	65886334	66096088	LEPR
chr1	65886334	66098852	LEPR
chr1	65886350	66102698	LEPR
chr1	65991333	66096088	LEPR
chr1	65991333	66098852	LEPR
chr1	65991371	66091853	LEPR
chr1	70033604	70339156	LRRC7
chr1	70033604	70587570	LRRC7
chr1	70034435	70339156	LRRC7
chr1	70034435	70573463	LRRC7
chr1	70035023	70339156	LRRC7
chr1	71861625	72748177	NEGR1
chr1	76540430	77042554	ST6GALNAC3
chr1	76540430	77042540	ST6GALNAC3
chr1	76540430	77094491	ST6GALNAC3
chr1	76540430	77099876	ST6GALNAC3
chr1	76540430	77100288	ST6GALNAC3
chr1	77554673	77685087	PIGK
chr1	81771816	82456829	ADGRL2
chr1	81771816	82455378	ADGRL2
chr1	81771816	82456829	ADGRL2
chr1	85784167	85824524	DDAH1
chr1	87012760	87046028	CLCA4
chr1	87012760	87046437	CLCA4
chr1	89003195	89150887	PKN2-AS1
chr1	90098678	90180541	LRRC8C
chr1	93298285	93426986	DIPK1A
chr1	93307723	93341966	DIPK1A
chr1	93307723	93426986	DIPK1A
chr1	94350754	94374719	GCLM
chr1	95391915	95428826	CNN3-DT
chr1	95393583	95428826	CNN3-DT
chr1	96457623	96488436	LINC02790
chr1	107682709	108023462	NTNG1
chr1	107683660	108023462	NTNG1
chr1	107683956	108023462	NTNG1
chr1	110091236	110134855	GNAI3
chr1	111136201	111147404	KCNA2
chr1	112084630	112251857	RAP1A
chr1	112162410	112251857	RAP1A
chr1	113243752	113246421	RHOC
chr1	114239452	114281397	PHTF1
chr1	114239452	114301325	PHTF1
chr1	114239452	114281397	PHTF1
chr1	114239452	114301325	PHTF1
chr1	114239452	114254660	PHTF1
chr1	114239452	114301325	PHTF1
chr1	114239452	114302108	PHTF1
chr1	114246441	114301325	PHTF1
chr1	114246441	114281397	PHTF1
chr1	114246441	114301325	PHTF1
chr1	114246441	114302108	PHTF1
chr1	114248386	114281397	PHTF1
chr1	114248386	114301325	PHTF1
chr1	118472361	118502070	WDR3
chr1	120454175	120612020	NOTCH2
chr1	120477735	120612020	NOTCH2
chr1	144593687	144828784	NBPF9
chr1	145727665	145763623	PDZK1
chr1	145727697	145763623	PDZK1
chr1	145727697	145763815	PDZK1
chr1	145727697	145763623	PDZK1
chr1	148876039	148902123	KMT2CP1
chr1	149909704	149949445	OTUD7B
chr1	154127783	154145673	TPM3
chr1	154127783	154155595	TPM3
chr1	154127783	154155531	TPM3
chr1	154127783	154164494	TPM3
chr1	154127783	154155694	TPM3
chr1	154134288	154155595	TPM3
chr1	154134288	154164494	TPM3
chr1	155183615	155197325	GBAP1
chr1	156219014	156247814	SMG5
chr1	156219014	156252471	SMG5
chr1	156219014	156247814	SMG5
chr1	161475246	161487938	FCGR2A
chr1	164528420	164818639	PBX1
chr1	164528420	164790820	PBX1
chr1	164528420	164815913	PBX1
chr1	164528420	164790820	PBX1
chr1	164528958	164815913	PBX1
chr1	165667986	165679205	LOC440700
chr1	170904674	170967541	MROH9
chr1	170904674	171033481	MROH9
chr1	171810637	172102037	DNM3
chr1	171810637	172376981	DNM3
chr1	171810637	172387457	DNM3
chr1	171810637	172381857	DNM3
chr1	173008341	173020036	TNFSF18
chr1	175036968	175116207	TNN
chr1	177140093	177250664	BRINP2
chr1	178063238	178442374	RASAL2
chr1	179262931	179322776	SOAT1
chr1	179262931	179327815	SOAT1
chr1	180257364	180471401	ACBD6
chr1	182419280	182525192	RGSL1
chr1	183441633	183521066	SMG7
chr1	183441633	183522336	SMG7
chr1	183441633	183521066	SMG7
chr1	186640922	186649422	PTGS2
chr1	197122811	197169603	ZBTB41
chr1	197122811	197170423	ZBTB41
chr1	198126127	198288652	NEK7
chr1	199117725	199362435	LINC02789
chr1	202317826	202406968	PPP1R12B
chr1	202317826	202407242	PPP1R12B
chr1	202317826	202549688	PPP1R12B
chr1	206516196	206629137	SRGAP2
chr1	206516196	206627502	SRGAP2
chr1	206516196	206629137	SRGAP2
chr1	206516196	206627502	SRGAP2
chr1	206516196	206634765	SRGAP2
chr1	206516196	206633020	SRGAP2
chr1	210501595	210847721	HHAT
chr1	210502245	210847721	HHAT
chr1	210502709	210847721	HHAT
chr1	212859758	212873104	BATF3
chr1	215796232	216595678	USH2A
chr1	216676587	216850820	ESRRG
chr1	216676592	216850820	ESRRG
chr1	216676592	216824348	ESRRG
chr1	216676592	216737669	ESRRG
chr1	216676592	216850820	ESRRG
chr1	220141941	220219730	EPRS1
chr1	225117376	225586971	DNAH14
chr1	228581376	228594262	TRIM11
chr1	229576005	229643996	NUP133
chr1	231664398	231838307	TSNAX-DISC1
chr1	231664398	231886365	TSNAX-DISC1
chr1	231664398	231954990	TSNAX-DISC1
chr1	231664398	232177018	TSNAX-DISC1
chr1	231727037	231747836	LINC00582
